estado,ano,turno,situacao,quantidade,proporcao
Distrito Federal,1989,2,DEMAIS,97850,11.413.341.420.456.500
Distrito Federal,1989,2,VALIDOS,759480,8.858.665.857.954.340
Distrito Federal,1994,1,DEMAIS,247809,23.328.754.988.246.600
Distrito Federal,1994,1,VALIDOS,814438,7.667.124.501.175.330
Distrito Federal,1998,1,DEMAIS,300783,23.722.459.924.680.000
Distrito Federal,1998,1,VALIDOS,967142,7.627.754.007.531.990
Distrito Federal,2002,1,DEMAIS,308503,20.337.486.930.737.100
Distrito Federal,2002,1,VALIDOS,1208415,7.966.251.306.926.280
Distrito Federal,2002,2,DEMAIS,269244,17.731.654.326.126.100
Distrito Federal,2002,2,VALIDOS,1249193,82.268.345.673.873.800
Espirito Santo,2006,1,DEMAIS,2871872,6.146.636.343.050.670
Espirito Santo,2006,1,VALIDOS,1800394,3.853.363.656.949.320
Espirito Santo,2006,2,DEMAIS,2855955,6.112.569.361.419.060
Espirito Santo,2006,2,VALIDOS,1816311,3.887.430.638.580.930
Espirito Santo,2010,1,DEMAIS,596100,23.636.087.519.741.300
Espirito Santo,2010,1,VALIDOS,1925891,7.636.391.248.025.860
Espirito Santo,2010,2,DEMAIS,642603,254.791.695.082.456
Espirito Santo,2010,2,VALIDOS,1879469,745.208.304.917.544
Espirito Santo,2014,1,DEMAIS,678402,25.584.425.526.875.800
Espirito Santo,2014,1,VALIDOS,1973219,7.441.557.447.312.410
Espirito Santo,2014,2,DEMAIS,675751,25.483.459.062.858.700
Espirito Santo,2014,2,VALIDOS,1975973,7.451.654.093.714.120
Espirito Santo,1989,1,DEMAIS,224189,15.925.240.044.638.300
Espirito Santo,1989,1,VALIDOS,1183570,8.407.475.995.536.160
Espirito Santo,1989,2,DEMAIS,224189,15.925.240.044.638.300
Espirito Santo,1989,2,VALIDOS,1183570,8.407.475.995.536.160
Espirito Santo,1994,1,DEMAIS,519907,3.039.096.198.170.480
Espirito Santo,1994,1,VALIDOS,1190822,6.960.903.801.829.510
Espirito Santo,1998,1,DEMAIS,658873,3.437.208.511.313.150
Espirito Santo,1998,1,VALIDOS,1258011,6.562.791.488.686.840
Espirito Santo,2002,2,DEMAIS,555759,2.589.230.930.500.710
Espirito Santo,2002,2,VALIDOS,1590666,7.410.769.069.499.280
Espirito Santo,2002,1,DEMAIS,534429,24.898.563.891.121.200
Espirito Santo,2002,1,VALIDOS,1611996,7.510.143.610.887.870
Goiás,1989,1,DEMAIS,430454,19.566.402.192.762.100
Goiás,1989,1,VALIDOS,1769511,8.043.359.780.723.780
Goiás,1989,2,DEMAIS,430454,19.566.402.192.762.100
Goiás,1989,2,VALIDOS,1769511,8.043.359.780.723.780
Goiás,1994,1,DEMAIS,885968,33.788.528.799.659.200
Goiás,1994,1,VALIDOS,1736129,662.114.712.003.408
Goiás,1998,1,DEMAIS,1057531,3.586.149.155.016.120
Goiás,1998,1,VALIDOS,1891401,6.413.850.844.983.870
Goiás,2002,1,DEMAIS,825565,24.527.697.032.070.300
Goiás,2002,1,VALIDOS,2540283,7.547.230.296.792.960
Goiás,2002,2,DEMAIS,870542,25.863.972.466.968.200
Goiás,2002,2,VALIDOS,2495306,7.413.602.753.303.170
Goiás,2006,1,DEMAIS,4622309,6.189.180.503.911.830
Goiás,2006,1,VALIDOS,2846061,3.810.819.496.088.160
Goiás,2006,2,DEMAIS,4757079,636.963.487.347.306
Goiás,2006,2,VALIDOS,2711291,363.036.512.652.694
Goiás,2010,1,DEMAIS,976119,24.048.784.501.856.600
Goiás,2010,1,VALIDOS,3082793,7.595.121.549.814.330
Goiás,2010,2,DEMAIS,1122482,2.765.396.050.483.020
Goiás,2010,2,VALIDOS,2936546,7.234.603.949.516.970
Goiás,2014,1,DEMAIS,1103282,25.480.930.677.711.800
Goiás,2014,1,VALIDOS,3226552,745.190.693.222.881
Goiás,2014,2,DEMAIS,1146187,2.647.124.712.351.140
Goiás,2014,2,VALIDOS,3183745,7.352.875.287.648.850
M. G. do Sul,1989,1,DEMAIS,182069,18.166.352.700.771.800
M. G. do Sul,1989,1,VALIDOS,820163,8.183.364.729.922.810
M. G. do Sul,1989,2,DEMAIS,182069,18.166.352.700.771.800
M. G. do Sul,1989,2,VALIDOS,820163,8.183.364.729.922.810
M. G. do Sul,1994,1,DEMAIS,355104,3.058.462.397.097.800
M. G. do Sul,1994,1,VALIDOS,805950,694.153.760.290.219
M. G. do Sul,2002,1,DEMAIS,335665,23.776.131.148.562.800
M. G. do Sul,2002,1,VALIDOS,1076108,7.622.386.885.143.710
M. G. do Sul,2002,2,DEMAIS,334638,23.703.385.742.608.700
M. G. do Sul,2002,2,VALIDOS,1077135,7.629.661.425.739.120
M. G. do Sul,2006,1,DEMAIS,1899900,6.084.816.558.746.230
M. G. do Sul,2006,1,VALIDOS,1222462,3.915.183.441.253.760
M. G. do Sul,2006,2,DEMAIS,1930905,6.184.116.383.686.450
M. G. do Sul,2006,2,VALIDOS,1191457,38.158.836.163.135.400
M. G. do Sul,2010,1,DEMAIS,399063,2.346.170.760.156.900
M. G. do Sul,2010,1,VALIDOS,1301849,7.653.829.239.843.090
M. G. do Sul,2010,2,DEMAIS,463391,27.242.605.581.844.300
M. G. do Sul,2010,2,VALIDOS,1237588,7.275.739.441.815.560
M. G. do Sul,2014,1,DEMAIS,466106,25.645.291.830.420.800
M. G. do Sul,2014,1,VALIDOS,1351405,7.435.470.816.957.910
M. G. do Sul,2014,2,DEMAIS,464479,25.555.267.621.690.100
M. G. do Sul,2014,2,VALIDOS,1353068,7.444.473.237.830.980
M. G. do Sul,1998,1,DEMAIS,407237,32.399.930.941.589.100
M. G. do Sul,1998,1,VALIDOS,849670,6.760.006.905.841.080
Maranhão,1989,1,DEMAIS,845090,394.100.408.888.093
Maranhão,1989,1,VALIDOS,1299262,605.899.591.111.907
Maranhão,1989,2,DEMAIS,845090,394.100.408.888.093
Maranhão,1989,2,VALIDOS,1299262,605.899.591.111.907
Maranhão,1994,1,DEMAIS,1353730,5.175.906.968.030.290
Maranhão,1994,1,VALIDOS,1261715,4.824.093.031.969.700
Maranhão,1998,1,DEMAIS,1473524,4.932.738.758.576.910
Maranhão,1998,1,VALIDOS,1513709,5.067.261.241.423.080
Maranhão,2002,1,DEMAIS,1328525,39.178.930.065.230.100
Maranhão,2002,1,VALIDOS,2062392,6.082.106.993.476.980
Maranhão,2002,2,DEMAIS,1289117,3.800.960.385.144.750
Maranhão,2002,2,VALIDOS,2102439,6.199.039.614.855.240
